velocidad,calle,retraso,velocidad_promedio
2.0300000000000002,AP Norte >(S),1099,17.993880866425993
2.99,AP Norte >(S),735,17.993880866425993
3.4799999999999995,AP Norte >(S),625,17.993880866425993
5.279999999999999,AP Norte >(S),398,17.993880866425993
6.87,AP Norte >(S),297,17.993880866425993
6.34,AP Norte >(S),116,17.993880866425993
43.959999999999994,AP Norte >(S),52,17.993880866425993
19.08,AP Norte >(S),105,17.993880866425993
17.83,AP Norte >(S),116,17.993880866425993
9.54,AP Norte >(S),202,17.993880866425993
43.260000000000005,AP Norte >(S),55,17.993880866425993
9.34,AP Norte >(S),207,17.993880866425993
5.98,AP Norte >(S),124,17.993880866425993
7.24,AP Norte >(S),280,17.993880866425993
45.260000000000005,AP Norte >(S),48,17.993880866425993
43.660000000000004,AP Norte >(S),54,17.993880866425993
20.86,AP Norte >(S),91,17.993880866425993
42.81,AP Norte >(S),57,17.993880866425993
40.760000000000005,AP Norte >(S),66,17.993880866425993
22.33,AP Norte >(S),82,17.993880866425993
40.739999999999995,AP Norte >(S),66,17.993880866425993
41.4,AP Norte >(S),63,17.993880866425993
25.11,AP Norte >(S),67,17.993880866425993
36.7,AP Norte >(S),104,17.993880866425993
37.370000000000005,AP Norte >(S),100,17.993880866425993
25.21,AP Norte >(S),66,17.993880866425993
25.0,AP Norte >(S),67,17.993880866425993
41.82000000000001,AP Norte >(S),74,17.993880866425993
37.440000000000005,AP Norte >(S),82,17.993880866425993
38.69,AP Norte >(S),92,17.993880866425993
